key;name;year;for_pop;for_anwerber;for_EU28;for_EUeast;for_notEU;for_syria;for_afghan;for_iraq;ss_total;ss_anwerber;ss_syria;ss_afghan;ss_iraq;ss_total_accept;ss_anwerber_accept;ss_syria_accept;ss_afghan_accept;ss_iraq_accept;ss_total_denied;ss_anwerber_denied;ss_syria_denied;ss_afghan_denied;ss_iraq_denied;ss_total_duldung;ss_anwerber_duldung;ss_syria_duldung;ss_afghan_duldung;ss_iraq_duldung
055;Regierungsbezirk Münster ;2013;218525;122435;80775;40005;137750;2145;680;2020;22815;11595;1295;470;1305;15115;8165;1140;270;1000;4720;2785;60;20;180;3950;2330;40;15;170
05512;Bottrop, Stadt  ;2013;9960;6875;2795;1235;7165;70;35;90;920;380;45;35;60;565;260;35;20;45;165;80;5;0;10;155;70;5;0;10
05513;Gelsenkirchen, Stadt  ;2013;43125;29605;12245;7940;30875;160;50;625;3290;1955;75;30;320;2355;1335;60;30;285;715;510;0;0;30;630;475;0;0;30
05515;Münster, Stadt  ;2013;25205;9585;10550;4490;14655;400;125;295;2860;1145;210;65;200;1905;690;185;45;145;585;375;15;5;30;540;350;10;0;30
05554;Borken  ;2013;27005;8940;16170;5235;10835;540;95;315;2965;1265;325;70;210;1645;790;290;30;170;780;380;15;5;20;660;315;15;5;20
05558;Coesfeld  ;2013;9150;3290;4615;2990;4535;115;35;70;1520;800;75;30;45;880;570;65;25;25;365;195;5;0;10;310;165;5;0;10
05562;Recklinghausen  ;2013;57080;38505;15505;8475;41570;330;185;365;5075;2440;205;130;270;3375;1630;175;70;195;1040;670;10;5;45;825;525;5;5;45
05566;Steinfurt  ;2013;26430;13690;10840;4995;15590;255;100;160;4090;2665;180;75;115;2875;2120;160;30;80;680;440;5;5;20;590;370;0;5;20
05570;Warendorf  ;2013;20575;11950;8050;4645;12525;275;55;95;2095;940;180;40;85;1505;775;165;20;60;390;140;5;0;15;235;65;0;0;10
057;Regierungsbezirk Detmold ;2013;158980;78690;64640;32040;94340;3300;1000;4410;19425;6220;2095;695;3585;13590;4880;1790;435;3160;2240;770;50;35;235;1885;615;20;30;205
05711;Bielefeld, Stadt  ;2013;43690;25150;13880;6075;29810;495;175;2650;6055;1875;300;130;2185;4385;1415;180;55;2015;410;205;10;0;90;245;115;5;0;70
05754;Gütersloh  ;2013;35520;16000;19510;12280;16010;475;120;725;3145;1160;270;90;645;2355;1005;240;60;580;370;110;5;5;35;305;85;5;5;30
05758;Herford  ;2013;16875;9690;6125;2560;10750;210;100;125;1925;785;140;70;90;1315;640;100;45;60;285;90;15;5;20;230;65;5;5;20
05762;Höxter  ;2013;5150;2375;1990;850;3160;75;25;50;700;180;45;20;40;285;100;40;5;10;170;45;0;0;10;145;35;0;0;10
05766;Lippe  ;2013;20085;9895;6925;3060;13160;705;165;275;2795;875;480;130;210;1875;695;440;80;140;415;115;5;5;50;400;110;0;5;50
05770;Minden-Lübbecke  ;2013;16725;7295;6705;2990;10020;740;205;370;2590;625;515;125;250;1910;505;485;100;210;270;80;5;5;20;255;75;5;5;20
05774;Paderborn  ;2013;20940;8280;9505;4225;11435;600;215;220;2215;725;345;130;165;1465;520;300;90;145;320;130;5;10;10;305;125;5;10;10
059;Regierungsbezirk Arnsberg ;2013;374310;233560;142670;60405;231640;3875;1255;3005;32865;13000;2440;870;2050;21260;8930;2055;505;1525;5500;2575;80;85;260;4410;1995;45;70;230
05911;Bochum, Stadt  ;2013;36875;18770;11695;5850;25180;510;205;605;3520;1345;280;90;315;2520;815;250;70;275;610;400;5;10;20;535;355;0;5;20
05913;Dortmund, Stadt  ;2013;89560;50385;30895;15860;58670;840;310;975;8240;2330;505;220;635;5105;1240;355;170;505;1025;420;25;10;65;495;155;5;5;45
05914;Hagen, Stadt  ;2013;26190;19365;12305;3705;13885;225;80;95;1875;945;155;65;80;1515;785;150;30;75;150;80;0;5;5;100;40;0;5;0
05915;Hamm, Stadt  ;2013;22080;13700;6715;5245;15370;210;65;335;1430;505;130;35;260;1020;345;120;30;220;210;125;5;5;10;180;105;5;5;5
05916;Herne, Stadt  ;2013;21025;14895;5845;3460;15180;370;40;65;1560;765;225;25;35;1160;575;210;25;20;260;160;5;0;10;220;140;5;0;10
