key;wahlberechtigte;wähler_14;ungültige_14;gültige_14;cdu_14;spd_14;grüne_14;fdp_14;die linke_14;csu_14;freie wähler_14;rep_14;tierschutzpartei_14;familie_14;piraten_14;ödp_14;pbc_14;volksabstimmung_14;bp_14;cm_14;auf_14;dkp_14;büso_14;psg_14;afd_14;pro nrw_14;mlpd_14;npd_14;die partei_14
12061;134573;68953;2069;66884;16749;17766;3693;1503;12660;0;719;394;1176;1449;1187;124;64;288;36;52;88;255;36;36;6041;40;73;2009;446
12062;91556;46495;1957;44538;14802;10282;1366;971;7616;0;618;278;869;1288;658;59;86;221;17;54;81;95;36;34;3226;25;71;1523;262
12063;127809;58800;1333;57467;14679;16082;4235;1432;9253;0;357;204;1005;1038;1070;97;72;211;30;35;65;76;29;35;5424;40;57;1589;352
12064;158572;72311;2075;70236;15774;17936;3627;1318;16793;0;553;324;1346;1607;1171;165;41;371;48;49;81;264;49;54;6227;40;74;1855;469
12065;169019;79699;1768;77931;19622;22374;5061;1716;13123;0;607;269;1488;1392;1415;157;91;313;32;59;99;135;48;41;7233;58;62;2020;516
12066;98281;45553;1546;44007;12553;11100;1479;783;8435;0;521;252;726;1076;601;61;39;233;32;50;70;58;33;37;3622;28;57;1858;303
12067;150759;74071;2114;71957;16732;18550;3419;1435;15095;0;598;447;1495;1753;1197;111;54;421;49;51;82;182;46;43;7100;49;128;2458;462
12068;84740;35720;1036;34684;9402;10160;1864;618;6527;0;314;120;587;797;467;73;61;145;18;24;55;62;22;24;2323;25;44;757;195
12069;168741;89615;2518;87097;22748;25390;7428;2406;13680;0;581;284;1425;1652;1480;173;72;353;62;50;107;186;63;39;6826;53;81;1402;556
12070;67372;28594;754;27840;8147;8878;914;557;5058;0;203;124;406;510;337;41;42;101;19;25;34;40;9;17;1675;17;26;552;108
12071;102604;50375;1832;48543;13492;12242;1940;1032;8707;0;360;292;875;1204;612;92;46;275;35;38;123;98;22;35;4634;29;57;1954;349
12072;133945;59484;1679;57805;13873;16524;3275;1223;11110;0;616;351;1142;1271;1011;112;58;268;37;57;86;143;39;35;4921;24;50;1195;384
12073;103892;45439;1518;43921;12076;12156;1733;901;9087;0;336;187;633;1159;564;68;25;212;18;36;68;110;68;27;2818;24;54;1283;278
13003;169595;69529;1319;68210;16144;15527;6836;1278;16524;0;440;105;788;941;1357;144;65;334;28;59;140;198;30;51;5278;39;119;1023;762
13004;77683;35046;675;34371;9294;9159;2483;715;7372;0;247;75;320;335;472;73;35;141;17;29;63;95;38;21;2476;9;50;645;207
13071;223761;102925;3819;99106;35961;19824;3856;1682;21242;0;681;393;1120;1635;1103;164;148;598;60;146;307;223;104;84;6087;40;198;2885;565
13072;177347;85498;2734;82764;30457;17722;3707;1552;15148;0;959;225;921;1440;820;120;116;407;55;110;364;215;60;67;5551;63;90;2180;415
13073;190192;85889;3254;82635;35062;12984;3479;1516;14836;0;516;332;994;1285;972;116;110;472;73;113;202;194;57;87;6643;49;118;1968;457
13074;129198;62945;2228;60717;18907;16398;3184;1235;10808;0;444;181;743;1053;715;104;83;301;28;47;139;163;32;53;4147;35;81;1491;345
13075;199588;96207;3710;92497;33979;15222;4153;1693;17179;0;562;376;1270;1659;1301;187;132;553;76;164;289;211;89;90;7254;77;119;5135;727
13076;177406;91000;3347;87653;30464;22276;3082;1793;16089;0;580;248;947;1521;822;140;139;488;58;102;248;177;46;62;5112;50;103;2704;402
14511;200626;89204;1580;87624;23924;17560;5743;2342;19668;0;604;433;1262;965;1657;185;328;409;56;129;296;161;60;46;8508;137;127;2122;902
14521;299341;154945;5962;148983;58167;19304;4263;3893;25555;0;3129;770;2177;2234;1470;237;1301;696;102;541;643;168;81;64;16912;75;137;6356;708
14522;266103;137384;4679;132705;52810;18764;4663;3684;22961;0;2415;681;2003;2171;1605;229;414;719;95;211;307;195;61;48;12489;58;133;5161;828
14523;200127;96630;3140;93490;33208;16586;3233;2466;16866;0;1345;451;1377;1303;913;180;793;442;91;236;334;125;40;41;9510;38;101;3287;524
14524;279269;129666;4069;125597;45415;19674;4706;3328;23946;0;2972;529;1890;1595;1283;230;894;596;98;278;448;170;78;31;12066;64;151;4499;656
14612;431526;232079;3648;228431;65737;36051;28086;6012;43898;0;2344;455;2926;1946;6155;778;457;821;107;169;409;347;255;83;21693;104;253;5220;4125
14625;260686;136092;4573;131519;51059;17038;4232;3619;22757;0;2917;580;1862;2538;1730;194;433;835;94;176;305;177;82;55;14230;69;134;5524;879
14626;221577;110824;4163;106661;40623;13042;3895;2269;18050;0;2313;539;1791;2404;1361;203;418;723;114;202;263;136;116;67;12584;80;129;4588;751
14627;205737;104260;3174;101086;37589;13283;4951;2993;16684;0;1860;396;1462;1632;1472;176;209;515;74;89;197;125;133;37;12292;111;125;4033;648
14628;206844;111731;3468;108263;42094;12298;4468;2791;16786;0;2645;449;1626;1649;1241;189;182;572;84;107;221;126;106;47;13574;54;107;6168;679
14713;434618;185252;3382;181870;43045;38255;22531;3965;38330;0;1037;351;2720;1673;4431;546;307;774;81;114;235;341;156;114;15277;70;268;3882;3367
14729;218976;105298;3096;102202;39230;17573;3949;2441;17911;0;1501;380;1581;1657;1202;142;143;508;59;116;159;143;59;46;9171;43;103;3504;581
14730;167553;75879;2553;73326;26998;12960;2536;1786;13441;0;1520;385;996;1212;785;102;69;387;33;57;96;88;34;43;5957;31;87;3307;416
15001;71682;33690;859;32831;9438;7650;1880;1035;6954;0;287;143;549;557;359;37;19;185;29;78;72;40;19;16;2689;25;47;563;160
15002;190680;77432;1376;76056;17871;15798;8539;2337;18363;0;607;148;1198;909;1433;232;82;368;30;129;163;169;55;33;5379;42;159;870;1142
15003;193706;74684;1533;73151;18313;18578;6226;1500;16765;0;481;133;1217;886;1297;187;57;281;38;106;106;136;37;39;5063;35;141;822;707
